OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_,TREATMEN_1,TREATMEN_2,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CL,POST_CON_C,Shape_Leng,Shape_Area,area
10641,"2001",CA,CDF,AEU,00000RX4-053-AEU,RUPLY,,2001/05/16 00:00:00.000,,0.000000000000000,3.987858295440674,,,,617.746536539650833,16138.289701617160972,16138.290
10642,"2001",CA,CDF,AEU,00000RX4-053-AEU,RUPLY,,2001/11/09 00:00:00.000,,0.000000000000000,46.470790863037109,,,,2485.341605562058248,188060.622347834985703,188060.623
10643,"2001",CA,CDF,AEU,00000RX4-048-AEU,OMO RANCH,,2001/11/08 00:00:00.000,,0.000000000000000,17.325942993164062,,,,1545.667680225196818,70115.602999576527509,70115.604
10644,"2001",CA,CDF,AEU,00000RX4-048-AEU,SHAKE RIDGE,,2001/11/10 00:00:00.000,,0.000000000000000,47.698989868164062,,,,1845.294116491264958,193030.969235341850435,193030.967
10737,"2002",CA,CDF,AEU,00000RX4-048-AEU,SHAKE RIDGE,,2002/10/25 00:00:00.000,,12.000000000000000,12.495903968811035,,,,1041.308797316577511,50569.130773866454547,50569.129
10738,"2002",CA,CDF,AEU,00000RX4-048-AEU,SHAKE RIDGE,,2002/12/03 00:00:00.000,,56.000000000000000,55.885139465332031,,,,2063.848340835419549,226159.136419652932091,226159.137
10739,"2002",CA,CDF,AEU,00000RX4-048-AEU,SHAKE RIDGE,,2002/10/08 00:00:00.000,,43.000000000000000,43.723510742187507,,,,4419.163106092585622,176942.764867400983348,176942.765
10740,"2002",CA,CDF,AEU,00000RX4-048-AEU,SHAKE RIDGE,,2002/12/08 00:00:00.000,,9.000000000000000,8.943122863769531,,,,1492.235799590958322,36191.539451441734855,36191.539
10741,"2002",CA,CDF,AEU,00000RX4-053-AEU,SLY PARK,,2002/12/02 00:00:00.000,,17.000000000000000,17.049110412597656,,,,1728.499568572121916,68995.303569552706904,68995.309
10765,"2006",CA,USF,ENF,"0000000003254267",06 AMA CONSUMNES JACKPOT WUI,"11",,2006/01/18 00:00:00.000,365.857571971083587,365.858062744140625,,,,17341.866210763950221,1480575.102069122251123,1480575.105
10819,"2004",CA,CDF,AEU,Rx-067,Shake/Omo VMP,"3",2007/02/06 00:00:00.000,2007/02/06 00:00:00.000,83.000000000000000,83.609695434570327,"4","3","2",3134.433118446027038,338356.423818518873304,338356.424
10872,"2013",CA,CDF,AEU,2700-2001-VMP-009-008,Sly Park - Hazelnut 2,"3",2013/11/17 00:00:00.000,2013/11/17 00:00:00.000,9.000000000000000,9.302873611450195,,,,899.590542457705624,37647.394946681881265,35446.668
10873,"2013",CA,CDF,AEU,2700-2001-VMP-009-009,Sly Park - Park 1,"3",2013/11/17 00:00:00.000,2013/11/17 00:00:00.000,15.000000000000000,15.412465095520020,,,,1198.396258115780711,62372.036026893714734,57323.021
10876,"2013",CA,CDF,AEU,2700-2001-VMP-009-010,Sly Park - Hazelnut 1,"3",2013/11/17 00:00:00.000,2013/11/17 00:00:00.000,25.000000000000000,25.003601074218754,,,,1645.622649626967132,101185.980191413400462,101185.980
10983,"2012",CA,CDF,AEU,Sly Park,Sly Park,"3",2012/05/05 00:00:00.000,2012/05/10 00:00:00.000,6.000000000000000,4.926539897918702,,,,789.777693561907199,19937.000294368299365,19937.000
11063,"2012",CA,USF,ENF,"6300144000",TRAP RX BURN U17 1008 AC,"3",2012/01/01 00:00:00.000,2012/01/01 00:00:00.000,345.000000000000000,344.791717529296875,,,,11621.427247325384087,1395322.529879109701142,1392192.395
11088,"2011",CA,CDF,AEU,,SHAKE FIDDLE TOWN,"3",2011/10/30 00:00:00.000,2011/11/05 00:00:00.000,,64.923103332519531,"3","1","3",6668.149815096689053,262734.485514562518802,262734.485
11118,"2011",CA,USF,ENF,"0503566260026000002",MARSHALL MINE # 743,"3",2011/02/02 00:00:00.000,2011/02/02 00:00:00.000,13.893689487812876,13.893689155578613,,,,1350.274604610995993,56225.766534586909984,56225.767
11119,"2011",CA,USF,ENF,"0503566260027000003",MARSHALL MINE # 744,"3",2011/02/02 00:00:00.000,2011/02/02 00:00:00.000,10.227174645381982,10.227174758911133,,,,883.006786136652067,41387.907396670518210,41387.908
11120,"2011",CA,USF,ENF,"0503566290119000002",MARSHALL MINE # 751,"3",2011/02/02 00:00:00.000,2011/02/02 00:00:00.000,26.632964147073405,26.632965087890625,,,,1823.058524476130970,107779.782006132954848,107779.782
11259,"2011",CA,CDF,AEU,,SLY PARK,"3",2011/10/17 00:00:00.000,2011/10/17 00:00:00.000,,47.320510864257812,"1","2","2",3953.134899520723138,191499.315557806577999,191499.316
11344,"2010",CA,CDF,AEU,,SHAKE/ FIDDLE,"3",,,,35.623146057128906,"3","2","1",3806.112657571206000,144161.755892099608900,21556.371
11345,"2010",CA,CDF,AEU,,SHAKE/ FIDDLE,"3",,,,4.241406440734864,"3","2","1",1444.052429880107184,17164.361946405922936,14841.696
11346,"2010",CA,CDF,AEU,,SHAKE/ FIDDLE,"3",,,,8.429774284362797,"3","2","1",969.758199487368984,34114.087985216909146,161.563
11347,"2010",CA,CDF,AEU,,SHAKE/ FIDDLE,"3",,,,2.407122373580933,"3","2","1",440.183691567033691,9741.278523030363431,9741.279
11375,"2009",CA,CDF,AEU,AEU022956,SLY PARK,"3",2009/11/05 00:00:00.000,2009/11/05 00:00:00.000,28.000000000000000,27.689323425292969,"3","1","2",1954.504707180226660,112054.716556734900223,112054.717
11398,"2009",CA,CDF,AEU,AEU023037,SHAKE FIDDLE,"3",2009/11/06 00:00:00.000,2009/11/06 00:00:00.000,7.000000000000000,14.710730552673340,"2","1","2",1277.056180450182637,59532.215667398420919,59532.209
11400,"2009",CA,CDF,AEU,AEU023037,SHAKE FIDDLE,"3",2009/11/06 00:00:00.000,2009/11/06 00:00:00.000,66.000000000000000,66.047798156738281,"2","1","2",3075.555223584859505,267285.945437806309201,223408.432
11401,"2009",CA,CDF,AEU,AEU023037,SHAKE FIDDLE,"3",2009/11/06 00:00:00.000,2009/11/06 00:00:00.000,7.000000000000000,7.063986301422120,"2","1","2",756.725227471852804,28586.939513604618696,17978.342
11402,"2009",CA,CDF,AEU,AEU022956,SLY PARK,"3",2009/11/05 00:00:00.000,2009/11/05 00:00:00.000,28.000000000000000,27.689323425292969,"3","1","2",1954.504707180226660,112054.716556734900223,112054.717
11514,"2014",CA,USF,ENF,"6230616000",LAST CHANCE PRESCRIBED BURN,"3",2014/03/15 00:00:00.000,2014/03/15 00:00:00.000,66.000000000000000,66.225662231445312,,,,4066.595912925502944,268005.739808592363261,268005.741
11515,"2014",CA,USF,ENF,"6240189000",HENRYS PRESCRIVED BURN 1680 AC,"3",2014/03/15 00:00:00.000,2014/03/15 00:00:00.000,142.000000000000000,142.214233398437500,,,,4751.403078571109290,575520.586341835674830,575520.587
11516,"2014",CA,USF,ENF,"6250012000",MARSHALL MINE RX BURN,"3",2014/03/15 00:00:00.000,2014/03/15 00:00:00.000,95.000000000000000,95.274772644042983,,,,5350.868116259485760,385563.320039662881754,385563.319
11517,"2014",CA,USF,ENF,"6290030000",FIDDLER  # 30,"3",2014/03/15 00:00:00.000,2014/03/15 00:00:00.000,68.000000000000000,62.773353576660163,,,,3221.995193573506185,254034.750587252317928,254034.751
11775,"2018",CA,CDF,AEU,"7953",Early 2018 Broadcast,"3",2018/02/16 00:00:00.000,2018/05/19 00:00:00.000,78.000000000000000,78.104301452636719,,,,5173.022553630622497,316076.906935408595018,304961.981
11776,"2018",CA,CDF,AEU,"7951",Early 2018 Broadcast,"3",2018/02/15 00:00:00.000,2018/05/08 00:00:00.000,71.599999999999994,79.039543151855469,,,,6829.729200254268108,319861.667121015838347,247803.265
11974,"2018",CA,USF,ENF,"5810336010602",CALLECAT 141,"14",2018/11/30 00:00:00.000,2018/11/30 00:00:00.000,95.000000000000000,98.396972656250000,,,,2990.738040588893909,398198.418366527359467,398198.416
11976,"2018",CA,USF,ENF,"5810332010602",CALLECAT 142,"14",2018/11/30 00:00:00.000,2018/11/30 00:00:00.000,47.000000000000000,49.068439483642578,,,,3278.250439941381956,198572.922339342330815,198572.919
11977,"2018",CA,USF,ENF,"5810342010602",CALLECAT 146,"14",2018/11/30 00:00:00.000,2018/11/30 00:00:00.000,67.000000000000000,92.633872985839844,,,,2806.582478957705007,374875.982072384969797,374875.977
11978,"2018",CA,USF,ENF,"5810339010602",CALLECAT 148,"14",2018/11/30 00:00:00.000,2018/11/30 00:00:00.000,88.000000000000000,92.293357849121094,,,,3519.460184252638101,373497.964622581203002,373497.961
11988,"2018",CA,USF,ENF,"5876934010602",LOST HORSE BURN ONLY UNIT 2 FY18,"3",2018/06/08 00:00:00.000,2018/06/08 00:00:00.000,100.000000000000000,99.789619445800781,,,,3380.579612931306656,403834.250146856647916,403834.250
11990,"2018",CA,USF,ENF,"5810328010602",CALLECAT 140,"14",2018/11/30 00:00:00.000,2018/11/30 00:00:00.000,71.000000000000000,81.703353881835938,,,,3194.181159259524065,330641.755605309444945,330641.755
11998,"2018",CA,USF,ENF,"5810291010602",CALLECAT 133,"14",2018/11/30 00:00:00.000,2018/11/30 00:00:00.000,22.000000000000000,21.235218048095703,,,,1698.088176477198658,85935.874737186721177,85935.874
12073,"2018",CA,USF,ENF,"5806634010602",GRIZZLY COMPOUND FY19 PILE BURN 1*,"14",2018/12/10 00:00:00.000,2018/12/10 00:00:00.000,14.000000000000000,14.044331550598145,,,,1128.002365281279253,56835.394138669689710,56835.394
12077,"2018",CA,USF,ENF,"5702625010602",NWTF #30     107 AC FY19,"14",2018/11/30 00:00:00.000,2018/11/30 00:00:00.000,107.000000000000000,106.641784667968750,,,,3665.492627779892246,431563.997104639944155,431564.007
12870,"2019",CA,CDF,AEU,"9676",April 28 2019 Broadcast Burn,"3",2019/04/28 00:00:00.000,2019/04/28 00:00:00.000,16.899999999999999,16.881830215454102,,,,1408.632978197745388,68318.313226980855688,67245.542
12871,"2019",CA,CDF,AEU,"9677",April 29 2019 Broadcast Burn,"3",2019/04/29 00:00:00.000,2019/04/29 00:00:00.000,18.800000000000001,18.767692565917969,,,,1186.151737787358115,75950.128851675748592,75947.543
12882,"2019",CA,CDF,AEU,"10196","Oct 3&4, 2019 RX","3",2019/10/03 00:00:00.000,2019/10/04 00:00:00.000,16.699999999999999,16.733518600463867,,,,2940.283966448483625,67718.121458470530342,67718.122
12884,"2019",CA,CDF,AEU,"10283",Nov 14/15 2019 RX,"3",2019/11/14 00:00:00.000,2019/11/15 00:00:00.000,16.899999999999999,16.924518585205078,,,,1314.685744418801050,68491.070883724460145,66476.051
12886,"2019",CA,CDF,AEU,"10287",Nov 18/22 2019 RX,"3",2019/11/18 00:00:00.000,2019/11/22 00:00:00.000,7.700000000000000,7.673676967620850,,,,1319.333633124197831,31054.257243110689160,31054.257
13544,"2021",CA,CDF,AEU,"11825","April 16, 2021 Broadcast","3",2021/04/16 00:00:00.000,2021/04/16 00:00:00.000,30.300000000000001,30.313749313354492,,,,1862.986406565170910,122675.346856071730144,122675.347
13545,"2021",CA,CDF,AEU,"11826","April 22, 2021 Broadcast","3",2021/04/22 00:00:00.000,2021/04/22 00:00:00.000,17.400000000000002,17.429395675659180,,,,1220.692093124787107,70534.237921931198798,70534.238
13547,"2021",CA,CDF,AEU,"11829","April 9, 2021 Broadcast","3",2021/04/09 00:00:00.000,2021/04/09 00:00:00.000,2.200000000000000,2.213519334793091,,,,608.280926588053262,8957.793803047150504,4576.441
13555,"2021",CA,CDF,AEU,"12668",Dec 2021 Broadcast,"3",2021/12/01 00:00:00.000,2021/12/03 00:00:00.000,18.850000000000001,18.867277145385746,,,,2185.933094103844269,76353.133257084889919,76353.133
13741,"2006",CA,USF,ENF,"0000000003271145",06 PLV,"10",,2006/02/23 00:00:00.000,885.089345011422665,885.089965820312500,,,,15855.714471443854563,3581832.085972771514207,3581832.094
13787,"2010",CA,CDF,AEU,,SLY PARK,"10",,,,31.696765899658203,"3","2","1",2261.075384645878330,128272.261818360551842,128272.262
13788,"2010",CA,CDF,AEU,,SLY PARK,"10",,,,4.688348770141602,"3","2","2",1487.086280151056599,18973.074269097396609,18973.074
13789,"2010",CA,CDF,AEU,,SHAKE/ FIDDLE,"10",,,,0.154114514589310,"3","2","2",141.453975672152211,623.679322889925402,623.679
13790,"2010",CA,CDF,AEU,,SHAKE/ FIDDLE,"10",,,,15.072478294372559,"3","2","2",1376.450138397465253,60996.155483261303743,60996.155
13791,"2010",CA,CDF,AEU,,SHAKE/ FIDDLE,"10",,,,10.265574455261230,"3","2","2",1441.716065948009145,41543.307457111332042,40423.811
13838,"2015",CA,CDF,AEU,"3105",2015 Spring Piles,"10",2015/06/15 00:00:00.000,2015/06/24 00:00:00.000,7.300000000000000,6.690000057220460,,,,1398.193912931387104,27066.254977774253348,4010.209
