year,month,fid,DN,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
1985,07.csv,1,1,71.40300026,0.870768296,0,2.160895535,0,11.16300011,11.16300011,0.006,0,23,
1985,08.csv,1,1,348.0599995,4.24463414,4.668499947,1.387364912,1.636999965,6.403999805,4.766999841,1.636999965,1.636999965,82,
1985,09.csv,1,1,3642.457007,44.42020741,40.31000137,23.39028886,14.25399971,121.9449997,107.691,14.25399971,14.25399971,82,
1986,01.csv,1,1,13867.43705,169.115086,177.1470032,38.65062355,85.33599854,241.3509979,156.0149994,85.33599854,85.33599854,82,
1986,010.csv,1,1,350.5840001,4.275414635,3.991999984,0.921597259,2.802000046,7.590000153,4.788000107,2.802000046,3.697000027,80,
1986,011.csv,1,1,1640.217999,20.00265852,20.53849983,2.923325777,10.24600029,23.78199959,13.5359993,10.24600029,22.70499992,81,
1986,012.csv,1,1,3072.164,37.46541463,37.1079998,3.673935528,31.95499992,49.11899948,17.16399956,31.95499992,31.95499992,82,
1986,02.csv,1,1,44207.09003,539.110854,530.4649963,150.9325787,271.9349976,797.4089966,525.473999,271.9349976,271.9349976,82,
1986,03.csv,1,1,18233.95007,222.3652448,224.6725006,47.39805822,138.6710052,322.7269897,184.0559845,138.6710052,138.6710052,82,
1986,04.csv,1,1,3481.12299,42.45271939,43.30450058,5.854700069,33.85200119,53.09899902,19.24699783,33.85200119,33.85200119,82,
1986,05.csv,1,1,2721.375984,33.187512,34.6439991,12.53409677,10.49199963,57.06700134,46.57500172,10.49199963,10.49199963,82,
1986,06.csv,1,1,30.96699992,0.37764634,0,0.783863245,0,3.691999912,3.691999912,0.025,0,22,
1986,07.csv,1,1,286.8829973,3.498573138,0,6.959448673,0,30.73900032,30.73900032,0.006,0,28,
1986,08.csv,1,1,4.213999964,0.051390243,0,0.210449848,0,1.577999949,1.577999949,0.001,0,10,
1986,09.csv,1,1,6115.086,74.57421952,78.64899826,25.23523782,22.44199944,117.7249985,95.28299904,22.44199944,22.44199944,82,
1987,01.csv,1,1,9917.120003,120.9404878,117.7399979,32.2359167,66.72100067,179.9539948,113.2329941,66.72100067,66.72100067,82,
1987,010.csv,1,1,2970.081997,36.22051216,30.34599972,15.27911054,16.59799957,62.29199982,45.69400024,16.59799957,16.59799957,82,
1987,011.csv,1,1,5316.90099,64.84025597,65.85100174,8.559551152,50.29100037,82.28900146,31.9980011,50.29100037,73.74900055,81,
1987,012.csv,1,1,13322.964,162.4751707,162.2020035,36.55976203,94.0039978,238.9819946,144.9779968,94.0039978,94.0039978,82,
1987,02.csv,1,1,11408.04095,139.1224506,133.9930038,24.75110011,99.59200287,184.0970001,84.50499725,99.59200287,99.59200287,82,
1987,03.csv,1,1,12993.77401,158.4606587,159.5519943,21.67368068,115.7289963,215.1959991,99.46700287,115.7289963,115.7289963,82,
1987,04.csv,1,1,1023.235001,12.47847563,12.4000001,6.446102138,1.878000021,24.29500008,22.41700006,1.878000021,1.878000021,82,
1987,05.csv,1,1,2358.549016,28.76279287,19.09350014,21.52557702,5.65199995,78.49900055,72.8470006,5.65199995,5.65199995,82,
1987,06.csv,1,1,252.3250005,3.077134153,1.294500053,3.232735502,0,10.61299992,10.61299992,0.007,0,74,
1987,07.csv,1,1,13.71699997,0.167280487,0,0.533802361,0,2.778000116,2.778000116,0.002,0,13,
1987,08.csv,1,1,9.374000035,0.114317074,0,0.311203483,0,1.371000051,1.371000051,0.048,0,14,
1987,09.csv,1,1,23.52299986,0.286865852,0,0.79640127,0,4.461999893,4.461999893,0.004,0,17,
1988,01.csv,1,1,11443.72202,139.5575856,137.3934937,32.7628484,80.69799805,206.8079987,126.1100006,80.69799805,80.69799805,82,
1988,010.csv,1,1,15503.57902,189.0680368,188.2614975,57.36816277,76.89099884,302.1629944,225.2719955,76.89099884,76.89099884,82,
1988,011.csv,1,1,15503.57902,189.0680368,188.2614975,57.36816277,76.89099884,302.1629944,225.2719955,76.89099884,76.89099884,82,
1988,012.csv,1,1,10482.68103,127.8375735,124.3885002,27.46740754,75.88899994,189.3589935,113.4699936,75.88899994,75.88899994,82,
1988,02.csv,1,1,1198.327003,14.61374393,14.84950018,1.165624314,10.625,16.59399986,5.968999863,10.625,16.33799934,81,
1988,03.csv,1,1,3097.465008,37.77396351,40.18549919,10.21214479,18.19000053,57.97499847,39.78499794,18.19000053,18.19000053,82,
1988,04.csv,1,1,8161.408997,99.52937801,101.3725014,7.009381821,84.44799805,110.4980011,26.05000305,84.44799805,84.44799805,82,
1988,05.csv,1,1,2761.130991,33.67232916,25.08300018,15.22064723,16.52199936,75.78199768,59.25999832,16.52199936,16.52199936,82,
1988,06.csv,1,1,1159.605995,14.14153653,13.24199963,5.569233672,6.414000034,23.80900002,17.39499998,6.414000034,6.414000034,82,
1988,07.csv,1,1,87.11799973,1.062414631,0.794499993,1.17789638,0,6.443999767,6.443999767,0.007,0,69,
1988,08.csv,1,1,23.15300025,0.282353662,0,0.959129331,0,6.960000038,6.960000038,0.048,0,17,
1988,09.csv,1,1,57.33199982,0.69917073,0.419500008,0.77094245,0,2.898999929,2.898999929,0.001,0,61,
1989,01.csv,1,1,4290.362007,52.32148789,50.55500031,14.60236884,27.33200073,84.62400055,57.29199982,27.33200073,27.33200073,82,
1989,010.csv,1,1,9634.607056,117.495208,115.8800011,34.43434796,57.31299973,177.9320068,120.6190071,57.31299973,57.31299973,82,
1989,011.csv,1,1,7682.600021,93.69024416,87.36700058,27.09259815,45.55799866,149.3289948,103.7709961,45.55799866,45.55799866,82,
1989,012.csv,1,1,4.862999989,0.059304878,0,0.297340719,0,2.483999968,2.483999968,0.015,0,10,
1989,02.csv,1,1,6372.396976,77.71215825,74.19649887,18.01585267,40.19400024,111.5080032,71.31400299,40.19400024,40.19400024,82,
1989,03.csv,1,1,25441.32796,310.260097,305.2024994,80.33206989,166.4420013,485.0299988,318.5879974,166.4420013,166.4420013,82,
1989,04.csv,1,1,4323.964998,52.73128047,46.81450081,26.57777305,14.44799995,118.6240005,104.1760006,14.44799995,14.44799995,82,
1989,05.csv,1,1,1778.988009,21.69497572,19.75649929,10.73653896,2.665999889,40.4280014,37.76200151,2.665999889,2.665999889,82,
1989,06.csv,1,1,1586.208995,19.34401214,18.47550011,9.014057272,3.460999966,33.65299988,30.19199991,3.460999966,3.460999966,82,
1989,07.csv,1,1,0,0,0,0,0,0,0,0,0,1,
1989,08.csv,1,1,514.4690011,6.274012208,5.392999887,3.929245544,2.686000109,26.90600014,24.22000003,2.686000109,2.686000109,82,
1989,09.csv,1,1,6756.595016,82.3975002,85.40600204,15.82131882,55.88899994,103.0899963,47.2009964,55.88899994,55.88899994,82,
1990,01.csv,1,1,12649.37,154.2606098,159.0870056,32.65527864,90.23899841,210.0899963,119.8509979,90.23899841,90.23899841,82,
