,year,month,min,max,mean,median,std
0,1909,12,136.6109924,359.3280029,247.353281,250.6344986,64.70175613
0,1910,1,97.79699707,328.1090088,202.8242073,198.0755005,58.59566974
0,1910,2,55.17499924,156.9819946,116.886878,116.5275002,27.48285698
0,1910,3,90.91300201,199.9589996,143.0116108,143.6570053,24.80542031
0,1910,4,14.27799988,74.59899902,39.5015853,40.41550064,15.02484119
0,1910,5,0.004,14.93500042,6.343792693,5.622500181,3.980354447
0,1910,6,0,0,0,0,0
0,1910,7,0,21.1779995,1.154621948,0,3.675410657
0,1910,8,0,0,0,0,0
0,1910,9,4.521999836,86.46199799,33.94790237,32.43449974,20.23116206
0,1910,10,19.36899948,65.33699799,40.61707311,39.27599907,12.48649715
0,1910,11,18.20599937,120.1190033,69.70714641,70.72200012,27.41054783
0,1910,12,46.39300156,144.2769928,90.62228059,89.4414978,27.95766727
0,1911,1,414.5880127,1115.453003,757.3760071,751.5450134,196.3456075
0,1911,2,77.21800232,179.4730072,142.2538659,146.6930008,23.98870198
0,1911,3,115.7850037,335.0090027,215.1755003,216.2069931,62.0848431
0,1911,4,41.3769989,185.1679993,99.54029209,101.8740005,37.90304623
0,1911,5,6.181000233,52.09500122,24.47020737,23.44449997,13.24240034
0,1911,6,0,18.55699921,7.554414611,5.611999989,6.114287526
0,1911,7,0,11.30000019,0.437000001,0,1.77533473
0,1911,8,0,0,0,0,0
0,1911,9,0,9.75,2.773012195,1.869000018,2.834607489
0,1911,10,7.712999821,40.65599823,23.7599145,23.78250027,8.522348329
0,1911,11,15.82900047,81.16899872,45.0211221,41.71899986,16.9287903
0,1911,12,36.52999878,115.9810028,71.70413408,70.99000168,25.19237723
0,1912,1,77.14800262,214.0160065,133.4816824,128.7294998,34.2624006
0,1912,2,3.467000008,18.35400009,7.133670746,6.01850009,3.276455393
0,1912,3,74.71900177,231.6909943,140.6641582,140.9949951,45.79991872
0,1912,4,66.2440033,199.8480072,121.997146,117.5809975,30.23093814
0,1912,5,43.79999924,187.477005,102.940256,97.49599838,39.91033185
0,1912,6,0.017000001,49.01499939,25.48034144,22.79799938,14.05145781
0,1912,7,0,12.03899956,0.614646341,0,2.143017756
0,1912,8,0,0,0,0,0
0,1912,9,38.13899994,125.6470032,73.26545166,71.35000229,21.66155911
0,1912,10,17.14100075,64.72899628,40.24730494,38.70300102,13.3151502
0,1912,11,47.56700134,173.8220062,107.4136832,102.3274994,33.15544791
0,1912,12,22.73500061,93.76699829,56.82407305,57.07349968,18.48270715
0,1913,1,97.03099823,297.4530029,194.8358045,200.4680023,55.5133376
0,1913,2,5.839000225,31.37899971,17.62970729,16.96750069,6.50579594
0,1913,3,46.49300003,110.0419998,72.94137792,71.04399872,17.18137753
0,1913,4,28.4090004,118.7699966,67.57023155,68.03549957,22.28983511
0,1913,5,28.25300026,105.935997,60.97432918,59.98800087,22.06170001
0,1913,6,0.531000018,67.55400085,25.24821966,17.36749935,21.00180637
0,1913,7,0.103,83.65599823,10.38045125,3.4375,15.65913426
0,1913,8,0,29.7689991,1.779268262,0,4.514483155
0,1913,9,0,0,0,0,0
0,1913,10,0,0,0,0,0
0,1913,11,109.6969986,166.2960052,132.1093904,128.4369965,16.97761793
0,1913,12,128.6439972,341.6099854,234.1294009,231.2425003,57.13216388
0,1914,1,258.1409912,714.7789917,469.9666588,473.7985077,129.2062748
