year,month,ave_discharge
1964,2,206
1964,3,224.3
1964,4,442.9
1964,5,458.6
1964,6,129.3
1964,7,40.6
1964,8,26.5
1964,9,11.1
1964,10,11.8
1964,11,100.6
1964,12,3380
1965,1,2854
1965,2,965.1
1965,3,635.2
1965,4,1671
1965,5,763.7
1965,6,299.9
1965,7,78.8
1965,8,42.6
1965,9,25.4
1965,10,29.2
1965,11,156.8
1965,12,314.8
1966,1,370.7
1966,2,440.1
1966,3,489.2
1966,4,649.6
1966,5,184.4
1966,6,52.2
1966,7,52.5
1966,8,45.6
1966,9,17
1966,10,8.32
1966,11,69
1966,12,587.4
1967,1,1262
1967,2,835.8
1967,3,1675
1967,4,2152
1967,5,2128
1967,6,924.3
1967,7,226.4
1967,8,56.9
1967,9,36
1967,10,47.3
1967,11,58.8
1967,12,126.8
1968,1,280.5
1968,2,839.1
1968,3,662
1968,4,460.2
1968,5,193.2
1968,6,65.8
1968,7,52.4
1968,8,37.7
1968,9,9.63
1968,10,14.6
1968,11,92
1968,12,242
1969,1,3539
1969,2,2268
1969,3,1383
1969,4,1966
1969,5,1301
1969,6,393.6
1969,7,96.3
1969,8,34.7
1969,9,26.9
1969,10,53.4
1969,11,75.1
1969,12,439.7
1970,1,3301
1970,2,1176
1970,3,1258
1970,4,453.4
1970,5,377
1970,6,144.6
1970,7,63.1
1970,8,52
1970,9,39.3
1970,10,25.9
1970,11,286.9
1970,12,1087
1971,1,662.5
1971,2,481.8
1971,3,939.6
1971,4,911.2
1971,5,687
1971,6,291.7
1971,7,81.3
1971,8,24.4
1971,9,16.5
1971,10,29.1
1971,11,61.6
1971,12,371.4
1972,1,217.8
1972,2,492.3
1972,3,682.5
1972,4,614.8
1972,5,339.6
1972,6,92
1972,7,57.6
1972,8,51.9
1972,9,15.7
1972,10,30.2
1972,11,110.3
1972,12,257.5
1973,1,1873
1973,2,1767
1973,3,1387
1973,4,962.4
1973,5,712.8
1973,6,162.4
1973,7,56
1973,8,50.1
1973,9,29.8
1973,10,49.5
1973,11,429.7
1973,12,1074
1974,1,1739
1974,2,617.5
1974,3,2117
1974,4,1741
1974,5,792.2
1974,6,227.2
1974,7,134.9
1974,8,51.4
1974,9,26.9
1974,10,37.3
1974,11,61.7
1974,12,93.8
1975,1,183.6
1975,2,962.6
1975,3,1538
1975,4,1197
1975,5,1352
1975,6,458
1975,7,109.9
1975,8,53.6
1975,9,29.8
1975,10,81
1975,11,96.4
1975,12,89.1
1976,1,72.8
1976,2,104.6
1976,3,155.6
1976,4,153
1976,5,97.9
1976,6,24.8
1976,7,4.89
1976,8,16.2
1976,9,12.1
1976,10,13.9
1976,11,20
1976,12,18.3
1977,1,32.9
1977,2,39.4
1977,3,43.5
1977,4,33.7
1977,5,48.5
1977,6,12.1
1977,7,0.096
1977,8,0
1977,9,0
1977,10,0
1977,11,14.6
1977,12,208.8
1978,1,1552
1978,2,1002
1978,3,1524
1978,4,1849
1978,5,911.7
1978,6,330.9
1978,7,84.4
1978,8,18.5
1978,9,41
1978,10,21.6
1978,11,43.8
1978,12,63.9
1979,1,467.5
1979,2,967.8
1979,3,1306
1979,4,1027
1979,5,982.5
1979,6,189
1979,7,61.5
1979,8,21.2
1979,9,18.8
1979,10,43
1979,11,85.7
1979,12,170.5
1980,1,2914
1980,2,2956
1980,3,1484
1980,4,763.8
1980,5,571.2
1980,6,259.6
1980,7,110.5
1980,8,37.8
1980,9,26.4
1980,10,29.9
1980,11,41
1980,12,68.4
1981,1,241.7
1981,2,196.9
1981,3,732
1981,4,377.4
1981,5,194
1981,6,47.2
1981,7,12.3
1981,8,10.1
1981,9,1
1981,10,28.3
1981,11,576.6
1981,12,1274
1982,1,2342
1982,2,3091
1982,3,2829
1982,4,3992
1982,5,1267
1982,6,331.8
1982,7,128.8
1982,8,55.4
1982,9,78.5
1982,10,202.4
1982,11,779.3
1982,12,2267
1983,1,2416
1983,2,3394
1983,3,5255
1983,4,2182
1983,5,2218
1983,6,1067
1983,7,345.8
1983,8,114
1983,9,82
1983,10,79.6
1983,11,1570
1983,12,3297
1984,1,1162
1984,2,1056
1984,3,1162
1984,4,739.4
1984,5,488.4
1984,6,176.1
1984,7,69.7
1984,8,39.8
1984,9,30.7
1984,10,68.7
1984,11,293.4
1984,12,227.1
1985,1,142.4
1985,2,456.4
1985,3,549.8
1985,4,613.9
1985,5,251.8
1985,6,68.2
1985,7,20.2
1985,8,11.1
1985,9,24.2
1985,10,28.3
1985,11,119.9
1985,12,297.8
1986,1,681.1
1986,2,6610
1986,3,2889
1986,4,823.3
1986,5,424.5
1986,6,146.4
1986,7,53.1
1986,8,25.4
1986,9,36.3
1986,10,40.7
1986,11,38.7
1986,12,51.1
1987,1,77.6
1987,2,235.4
1987,3,470.5
1987,4,179.5
1987,5,87.2
1987,6,24.6
1987,7,7.09
1987,8,1.83
1987,9,1.66
1987,10,9.72
1987,11,29.7
1987,12,65.3
1988,1,215.2
1988,2,109.2
1988,3,149
1988,4,146.7
1988,5,104.9
1988,6,34.8
1988,7,4.95
1988,8,0.002
1988,9,0
1988,10,0.372
1988,11,41.9
1988,12,50.4
1989,1,76.2
1989,2,147.1
1989,3,1433
1989,4,615
1989,5,228.5
1989,6,67.9
1989,7,17.2
1989,8,5.32
1989,9,16.5
1989,10,56.3
1989,11,67.2
1989,12,54.3
1990,1,133.5
1990,2,213
1990,3,437.1
1990,4,273.4
1990,5,131.6
1990,6,106.7
1990,7,20.9
1990,8,4.68
1990,9,3.63
1990,10,7.47
1990,11,18.1
1990,12,19.2
1991,1,21.4
1991,2,35.9
1991,3,736.6
1991,4,444.2
1991,5,329.6
1991,6,121.3
1991,7,28.5
1991,8,6.99
1991,9,1.91
1991,10,16.6
1991,11,25.9
1991,12,36.8
1992,1,60.5
1992,2,639.8
1992,3,587
1992,4,281.5
1992,5,76.3
1992,6,18
1992,7,12.4
1992,8,0.409
1992,9,0
1992,10,4.2
1992,11,21.5
1992,12,195.4
1993,1,1859
1993,2,1642
1993,3,1988
1993,4,1240
1993,5,649.3
1993,6,355
1993,7,64.7
1993,8,21.5
1993,9,10.4
1993,10,19.3
1993,11,26.4
1993,12,80.8
1994,1,75.2
1994,2,267.1
1994,3,227.1
1994,4,156.7
1994,5,148.5
1994,6,29.8
1994,7,4.67
1994,8,0.042
1994,9,0
1994,10,7.61
1994,11,61.2
1994,12,228.2
1995,1,2866
1995,2,1007
1995,3,4478
1995,4,2035
1995,5,2362
1995,6,819.8
1995,7,249.9
1995,8,63.3
1995,9,32.6
1995,10,29.6
1995,11,33.4
1995,12,157.2
1996,1,775
1996,2,2034
1996,3,1790
1996,4,1112
1996,5,1015
1996,6,266.9
1996,7,91.9
1996,8,37.5
1996,9,30.5
1996,10,35
1996,11,188.4
1996,12,2599
1997,1,7129
1997,2,1285
1997,3,573.6
1997,4,419.2
1997,5,243.7
1997,6,113.1
1997,7,51.5
1997,8,30.1
1997,9,22.5
1997,10,45.4
1997,11,90.2
1997,12,158.8
1998,1,1550
1998,2,3563
1998,3,2365
1998,4,1996
1998,5,1819
1998,6,1111
1998,7,275.6
1998,8,89.5
1998,9,66.1
1998,10,66.1
1998,11,111.7
1998,12,218.9
1999,1,820.7
1999,2,2964
1999,3,1400
1999,4,1137
1999,5,748.9
1999,6,277
1999,7,78.3
1999,8,44.9
1999,9,29.6
1999,10,29.3
1999,11,73.6
1999,12,70.9
2000,1,782.9
2000,2,2580
2000,3,1275
2000,4,660
2000,5,526.8
2000,6,145.5
2000,7,53.3
2000,8,24.2
2000,9,34.3
2000,10,54.3
2000,11,61
2000,12,75.3
2001,1,139.8
2001,2,350.8
2001,3,458.9
2001,4,465.3
2001,5,268.1
2001,6,44.9
2001,7,15
2001,8,5.74
2001,9,6.4
2001,10,10.2
2001,11,57.7
