OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,area
39189,"2012",CA,USF,ENF,HAZEL,"00018041",2012/08/05 00:00:00.000,2012/08/08 00:00:00.000,"4",FI: TOM OLDAG (LEAD),47.000000000000000,44.305786132812493,"1","1",,2284.827508958200269,179299.148712834867183,179299.149
39483,"2013",CA,USF,ENF,BALTIC,"00000027",2013/08/03 00:00:00.000,2013/08/05 00:00:00.000,"14",,15.000000000000000,14.928822517395020,"1","1",,1268.693417548764273,60414.802338876514114,60414.802
39484,"2013",CA,USF,ENF,HENRY,"00000063",2013/12/18 00:00:00.000,2013/12/18 00:00:00.000,"14",,20.000000000000000,19.825445175170898,"1","1",,2095.047389241794917,80230.732585682824720,80230.733
39695,"2014",CA,CDF,AEU,SAND,"018237",2014/07/26 00:00:00.000,2014/07/30 00:00:00.000,"10",,4240.000000000000000,4239.271972656250000,"1","1",,29457.419841780101706,17155724.839636594057083,17155724.830
40690,"2008",CA,USF,ENF,NORTH,"000076",2008/11/12 00:00:00.000,2008/11/16 00:00:00.000,"5",,41.000000000000000,43.500240325927734,"8","1","000076",2204.306221373921289,176039.224503928911872,176039.225
41309,"2016",CA,CDF,AEU,BELL,,,,"14",,,45.819713592529297,"1","1",,2289.111869009253496,185425.795505158544984,185425.796
41895,"2017",CA,USF,ENF,HORSE,"00024772",2017/08/24 00:00:00.000,2017/08/24 00:00:00.000,"1",,0.100000000000000,0.156078785657883,"1","1",,138.115164438294073,631.628442816194934,631.628
41981,"2017",CA,CDF,AEU,LATROBE,"00021652",2017/07/26 00:00:00.000,2017/07/26 00:00:00.000,"5",,1268.000000000000000,1268.109863281250000,"1","1",,14516.742312543157823,5131858.617409748956561,1392719.998
41982,"2017",CA,CDF,AEU,RANCH,"00021638",2017/07/26 00:00:00.000,2017/07/31 00:00:00.000,"2",,138.000000000000000,138.548706054687500,"1","1",,4696.606291021841571,560686.731573120458052,560686.731
41983,"2017",CA,CDF,AEU,FRENCH,"00027595",2017/09/17 00:00:00.000,2017/09/18 00:00:00.000,"14",,136.000000000000000,130.771850585937500,"1","1",,4105.256199834095241,529214.890855708508752,529214.891
42043,"2018",CA,CDF,AEU,SHINGLE,"00018477",2018/07/04 00:00:00.000,2018/07/04 00:00:00.000,"7",,316.000000000000000,315.994537353515625,"1","1",,7015.422222708500158,1278784.518437051912770,411223.597
42046,"2018",CA,CDF,AEU,BUMPER,"00021760",2018/08/01 00:00:00.000,2018/08/03 00:00:00.000,"14",,66.700000000000003,66.736541748046875,"1","1",,2713.716694843609730,270073.211198953271378,270073.211
42508,"2019",CA,CDF,AEU,CHAPARRAL,"00029708",2019/09/29 00:00:00.000,2019/09/29 00:00:00.000,"9",,,21.851106643676754,"1","1",,1867.545299738864287,88428.293696572422050,88428.294
42509,"2019",CA,CDF,AEU,COULTER,"00028812",2019/09/21 00:00:00.000,2019/09/21 00:00:00.000,"9",,,17.788284301757812,"1","1",,1322.528515549726535,71986.635141099090106,71986.635
42513,"2019",CA,CDF,AEU,PATTERSON,"00024851",2019/08/15 00:00:00.000,2019/08/15 00:00:00.000,"14",,,34.914863586425781,"1","1",,1822.948442347110586,141295.432455856498564,141295.432
42514,"2019",CA,CDF,AEU,VINTAGE,"00021136",2019/07/14 00:00:00.000,2019/07/14 00:00:00.000,"2",,,2.438374996185303,"1","1",,435.702958653615497,9867.753372770879650,9867.753
42853,"2021",CA,CDF,AEU,BELL,"00013708",2021/05/20 06:59:59.000,2021/05/20 06:59:59.000,"2",,18.370000000000001,18.612054824829102,"1","1",,1273.011437580336860,75320.314129661463085,75320.317
42856,"2021",CA,CDF,AEU,STEINS,"00018047",2021/06/26 06:59:59.000,2021/06/26 06:59:59.000,"9",,14.060000000000000,13.732354164123535,"1","1",,2452.610471604107715,55572.866500831871235,55572.868
42857,"2021",CA,CDF,AEU,LAWRENCE,"00026385",2021/09/05 06:59:59.000,2021/09/05 06:59:59.000,"14",,46.240000000000002,45.942855834960938,"1","1",,1996.300030008531166,185924.135620645276504,185924.140
42858,"2021",CA,CDF,AEU,SETTLERS,"00013605",2021/05/19 06:59:59.000,2021/05/19 06:59:59.000,"2",,45.149999999999999,45.351230621337891,"1","1",,2639.198082662746401,183529.913887834612979,183529.918
43060,"2021",CA,USF,ENF,COLD,"00001910",2021/01/19 20:43:18.000,2021/01/20 00:00:00.000,"5",DC4B63D0-3B36-4DFA-8BAF-C0580B2DFB14,29.500000000000000,34.513431549072266,"1","1",,2315.800797779234017,139670.906301879440434,139670.914
43102,"2021",CA,USF,ENF,CALDOR,"00024030",2021/08/15 01:54:24.000,2021/11/18 01:01:00.000,"14",E6C053C8-A346-43FB-9C29-632BC7536717,221835.000000000000000,221786.390625000000000,"7","1",,368685.191297810932156,897537666.743525862693787,404351141.500
